movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Dark Water,"Following up on his horror smash hits Ringu and Ringu 2, Hideo Nakata directs this supernatural psychological drama about a middle aged woman struggling to cling to her sanity. Yoshimi Matsubara (Hitomi Kuroki) is the midst of a nasty divorce with her thuggish, abusive husband over the custody of their five year old daughter Ikuko (Rio Kanno). In Japan's family court system, which is heavily weighted towards the mother, Yoshimi case would normally be a piece of cake. Unfortunately, Yoshimi has a history of mental imbalance as a result of her miserable, emotionally starved childhood. The transition from housewife to independent working woman has been stressful. She has moved into a fleabag of an apartment -- completely with a constantly leaking roof -- and has had little luck finding employment. Worse, Ikuko and then Yoshimi start seeing a creepy little girl dressed in yellow suddenly appearing in apartment. With a growing sense of dread, Yoshimi starts having outbursts not only in family court, but also at her daughter's kindergarten. When she slumps into a coma after the end of one such fit, she realizes what the girl in yellow is trying to communicate.",,PG-13,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,"Hideo Hakata, Takashige Ichise, Yoshihiro Nakamura, Ken-ichi Suzuki","Hitomi Kuroki, Rio Kanno, Shigemitsu Ogi, Mirei Oguchi, Asami Mizukawa, Yu Tokui, Fumiyo Kohinata, Isao Yatsu",2002-01-19,2005-06-21,100,Toho Company Ltd,Fresh,80,15,66,21459
The Accused,"Simultaneously gut-wrenching and provocative, The Accused follows the struggle of a young woman to find justice after she is publicly gang-raped in a local tavern. While it seems a straightforward enough case, there are some complicating issues involving the character and intent of the victim herself and also the culpability amongst those who witnessed the crime and did nothing to stop it. Sarah Tobias (Jodie Foster in a mesmerizing Oscar-winning turn) is a hard-living sexy little fireball who loves to party with her friends. The night of the rape, she had a fight with her boy friend and so goes to the bar to blow off a little steam. In the dark back room where the pool tables sit and pinball machines flash dimly against the walls, Sarah begins casually flirting, dancing around, drinking a bit and the next thing she knows she is tossed upon a pinball machine being brutally ravaged with guys lined up to have their way with her while other patrons stand around cheering. Badly beaten and traumatized, she ends up in the DA's office facing attorney Kathryn Murphy (Kelly McGillis) who listens and takes the case. But as Murphy learns more about Sarah, she becomes less pleased, for Sarah has a long, checkered past of drugs, booze and casual acquaintances that the defense can easily use to destroy her character. Rather than risk that, Murphy goes for a plea bargain that grants the guilty light sentences and frees them from having to admit that they committed rape. Sarah goes ballistic when she hears about the trial and harshly derides Murphy. The lawyer seems unsympathetic at first, but then she sees first hand the devastation the rape has wrought upon Sarah's life and decides to defy her bosses and continue fighting for justice using an entirely new tack. This time, instead of going after the rapists, she is going after the ""passive"" onlookers who may or may not have encouraged the crime. The Accused is loosely based upon the true story of a much-publicized 1983 case from New Bedford, Massachusetts.",,R,"Drama, Mystery & Suspense",Jonathan Kaplan,Tom Topor,"Jodie Foster, Kelly McGillis, Bernie Coulson, Leo Rossi, Ann Hearn, Steve Antin, Tom O'Brien, Allan Lysell, Carmen Argenziano, Terry David Mulligan, Woody Brown, Peter Van Norden, Scott Paulin, Kim Kondrashoff, Stephen E. Miller, Andrew Kavadas, Tom McBeath, Rose Weaver, Linda Darlow, Veena Sood, Anthony Holland, Kevin McNulty, Jerry Wasserman, Barney O'Sullivan, Christianne Hirt, Frances Flanagan, Mike Winlaw, Deryl Hayes, Dana Still, Denalda Williams, Babs Chula, Rebecca Toolan, Stephen Dimopoulos, Freda Perry, Dave Sheridan, Gary Chalk, Garwin Sanford, Gloria Lee, Michelle Goodger, Thomas Heaton, Pamela Sue Martin, Wally Marsh",1988-10-14,2002-04-16,110,Paramount Pictures,Fresh,91,22,79,20796
The Lost City,"Andy Garcia stars and makes his directorial debut in a passionate and historical tribute to his native Cuba. Havana in 1958 is a place of pleasure for many, but others are not happy under the rule of Dictator Fulgencio Batista. As the revolutionary forces of Fidel Castro and Ernesto 'Che' Guevara prepare to move on the city, Fico Fellove -- owner of the city's classiest music nightclub, El Tropico -- struggles to hold together his family and the love of a woman, not knowing that his club will become more than just a stage for popular entertainment. Observing all is The Writer an ex-patriot American who sees Fico being drawn into events as the revolution changes everything. Though Fico watches a culture vanish and a people transformed, it is his love of Cuban music that keeps his memories alive.","Its heart is in the right place, but what starts as a promising exercise devolves into an overlong, unevenly directed disappointment.",R,Drama,Andy Garcia,"G. Cabrera Infante, Guillermo Cabrera Infante","Andy Garcia, Dustin Hoffman, Bill Murray, Inés Sastre, Tomás Milian, Elizabeth Peña, Jsu Garcia, Nestor Carbonell, Lorena Feijoo, Millie Perkins, Enrique Murciano Jr., Richard Bradford, Dominik García-Lorido, Steven Bauer, Tony Plana, Juan Fernández, Sergio Carlo, William Marquez, Julio Oscar Mechoso, Daniel Pino, Ruben Rabasa, Victor Rivers, Waldemar Kalinowski",2005-09-03,2006-08-08,143,Magnolia Pictures,Rotten,25,83,64,25940
The Breaking Point,"In this taut adaptation of Hemingway's To Have and Have Not a financially struggling charter-boat captain finds himself in deep and turbulent water when he is forced to get involved with smugglers after a dishonest millionaire cheats him out of pay during a fishing excursion to Mexico; the louse also leaves his seductive girl friend, a hooker, stranded on the boat. The desperate captain agrees to illegally smuggle Chinese refugees into the US, but during the voyage, he is again double-crossed and must force his hapless passengers to jump ship when the Coast Guard suddenly appears. They take his boat away from him. Deeply depressed, he has sex with the abandoned woman and then goes home. Meanwhile, the crooked lawyer who talked him into smuggling the refugees, gets the captain's boat back and then blackmails him into taking a gang of crooks to Catalina Island. During the 26-mile voyage things come to a head when one of the crooks kills the skipper's first mate. Suddenly the captain snaps and he finally gets his revenge.",,NR,Drama,Michael Curtiz,Ranald MacDougall,"John Garfield, Patricia Neal, Phyllis Thaxter, Juano Hernandez, Wallace Ford, Edmon Ryan, Ralph Dumke, Guy Thomajan, William Campbell, Sherry Jackson, Donna Jo Boyce, Victor Sen Yung, Peter Brocco, John Doucette, James Griffith, Norman Field, Juan Duval, Spencer Chan, Helen Hatch, Bob McLean, Beverly Mook, John Close, Alex Gerry, Mary Carroll, Glen Turnbull, John Chapin Morgan, John Alvin, David McMahon, Paul McGuire, Len Hendry",1950-10-06,2017-08-08,97,Warner Home Video,Fresh,100,7,84,328
Adam's Rib,"Written by Ruth Gordon and Garson Kanin, Adam's Rib is a peerless comedy predicated on the double standard. Spencer Tracy and Katharine Hepburn play Adam and Amanda Bonner, a husband-and-wife attorney team, both drawn to a case of attempted murder. The defendant (Judy Holliday) had tearfully attempted to shoot her husband (Tom Ewell) and his mistress (Jean Hagen). Adam argues that the case is open and shut, but Amanda points out that, if the defendant were a man, he'd be set free on the basis of ""the unwritten law."" Thus it is that Adam works on behalf of the prosecution, while Amanda defends the accused woman. The trial turns into a media circus, while the Bonners' home life suffers. Adam's Rib represented the film debuts of New York-based actors Jean Hagen, Tom Ewell, and David Wayne (as Hepburn's erstwhile songwriting suitor), and the return to Hollywood of Judy Holliday after her Born Yesterday triumph. One of the best of the Tracy-Hepburn efforts, it inspired a brief 1973 TV series starring Ken Howard and Blythe Danner.","Matched by Garson Kanin's witty, sophisticated screenplay, George Cukor, Spencer Tracy, and Katherine Hepburn are all in top form in the classic comedy Adam's Rib.",NR,"Classics, Comedy, Romance",George Cukor,"Garson Kanin, Ruth Gordon","Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy, Janna Da Loos, Marvin Kaplan, John Maxwell Sholes, David Clarke, Gracille LaVinder, William Self, Paula Raymond, Tommy Noonan, John Maxwell, Ray Walker, Bill Self, Sidney Dubin, Madge Blake, Marjorie Wood, Lester Luther, De Forrest Lawrence, John Fell, David Roger Harris, Anna Q. Nilsson, Rex Evans, Louis Mason, Charles Bastin, James Nolan, E. Bradley Coleman, Glen B. Gallagher, Joseph E. Bernard, Gil Patric, Harry Cody, George Magrill, Bert Davidson",1949-11-18,2000-09-19,100,MGM Home Entertainment,Fresh,100,27,86,10545
The Bridge of San Luis Rey,"Thornton Wilder's award-winning novel is given a lavish screen adaptation in this historical drama from writer and director Mary McGuckian. In Peru in 1714, a rickety bridge collapsed as five people were attempting to cross, forcing them to plunge to their deaths. Brother Fray Juniper (Gabriel Byrne) is a Franciscan monk who has been given the duty of looking into the tragedy by the archbishop of Lima (Robert De Niro), and to learn what he can about the victims. It is Juniper's belief that these particular people died for some reason, and that it is his duty to determine why God chose these five people to perish, while others in the vicinity survived. After five years, Juniper delivers his findings to the archbishop as well as the viceroy of Peru (F. Murray Abraham), as Juniper tells them of the lives of the troubled Dona Maria (Kathy Bates), the nun Pepita (Adriana Dominguez), warm-hearted Uncle Pio (Harvey Keitel), street kid-turned-actress La Perichola (Pilar Lopez de Ayala), and others involved in the tragedy. The Bridge of San Luis Rey also features Geraldine Chaplin, John Lynch, and brothers Mark Polish and Michael Polish.","Despite an all-star cast and some impressive visuals, The Bridge of San Luis Rey is a lifeless, slow-going adaptation of Thornton Wilder's classic novel.",PG,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,Mary McGuckian,"Gabriel Byrne, F. Murray Abraham, Kathy Bates, Geraldine Chaplin, Robert De Niro, Émilie Dequenne, Adriana Domínguez, Harvey Keitel, Samuel Le Bihan, Pilar López de Ayala, John Lynch, Dominique Pinon, Mark Polish, Michael Polish, Jim Sheridan",2005-06-10,2005-10-11,120,Fine Line Features,Rotten,4,24,35,1931
The Prowler (Cost of Living ),"Webb Garwood (Van Heflin) is a cynical policeman who believes that success comes from lucky breaks. Responding to a prowler complaint at the home of Susan Gilvray (Evelyn Keyes), he is immediately attracted to her and her wealth. He returns to ""check up"" on Susan, and they begin an affair, conducted while listening to her husband John (Sherry Hall)'s all-night radio program. Feeling guilty, Susan ends the relationship, but Garwood remains obsessed. He pretends to be a prowler on the Gilvray property so he can respond to another police call. Drawing William outside, he shoots him and makes it appear accidental. When Garwood manipulates Susan's confusion about the shooting, she buys his story, and the lovers marry. However, upon discovering that Susan is pregnant ""too soon,"" they flee to give birth in secret, but eventually Susan learns the devastating truth.",,PG,"Drama, Mystery & Suspense",Joseph Losey,"Robert Thoeren, Dalton Trumbo, Hugo Butler","Van Heflin, Evelyn Keyes, Katherine Warren, John Maxwell, Emerson Treacy, Madge Blake, Wheaton Chambers, Robert Osterloh, Sherry Hall, Louise Lorimer, George Nader, Benny Burt, Louise M. Bates, Steve Carruthers, Betty Jane Howarth, Fred Hoose, Alan Harris, Tiny Jones",1951-12-03,2011-02-01,92,VCI Entertainment,Fresh,100,17,86,284
Criminal,"A contemporary caper story centering upon an extremely odd couple: a young Latino man who will do anything for his family and a thirty-something scheming white guy who will do anything to his family. One wants to save his father. The other wants to get rich, in any way possible. So when they come across one of the most valuable pieces of currency in U.S. history, they're suddenly stuck together, and that's just--criminal. All they have to do is sell it, which is where the real problems begin. The only way out is family but the one person who can help them, hates them: the schemer's sister.","If you saw Nine Queens, it may feel redundant, but the snappy performances make it fun to watch.",R,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs","Gregory Jacobs, Fabián Bielinsky, Steven Soderbergh, Sam Lowry, Greggory Jacobs, Greg Jacobs","John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann, Maeve Quinlan, Laura Cerón, Soledad St. Hilaire, Brandon Keener, Ellen Geer, Gary Mack, Brent Sexton, Enrico Colantoni, Nick Anavio, Deborah Van Valkenburgh, Malik Yoba, Lillian Hurst, Jack Conley, Juan Carlos Cantu, Manuel G. Jimenez, Luis Contreras, Patricia Belcher, Paul Norwood",2004-09-24,2005-04-12,88,Warner Bros. Pictures,Fresh,69,124,57,6702
The Adventures of Mark Twain,"Will Vinton, the stop-motion animation whiz who brought us The California Raisins, is the principal creative force behind The Adventures of Mark Twain. A clay-model Twain, voiced by James Whitmore, sets out in a hot-air balloon to find Halley's Comet. Joining the waspish humorist on his journey are some of his favorite creations, including Tom Sawyer, Becky Thatcher and Huckleberry Finn. As the balloon ascends further into the sky, we are treated to animated dramatization of such Twain classics as ""The Celebrated Jumping Frog of Calaveras County."" Though brilliantly conceived and executed, Adventures of Mark Twain might have been even more effective had it been shortened by ten minutes or so.",,G,"Action & Adventure, Animation, Kids & Family",Will Vinton,Susan Shadburne,"James Whitmore, Michele Mariana, Gary Krug, Chris Ritchie, Carol Edelman, John Hennigan",1985-03-01,2006-01-31,86,Eureka Entertainment Ltd,Fresh,80,5,82,1042
Deep Blue,"This comprehensive presentation of images from the world's oceans, gathered over years of filming, plunges the audience into the spectacle of the seas. Viewers embark on a journey from the shallowest coral reefs to the barren shores of the Antarctic and from the vast stretches of the open ocean to the nocturnal landscapes of the ocean's deepest chasms.","Full of visually striking footage, Deep Blue may be too intense for younger viewers, but fans of nature documentaries will find much to enjoy.",G,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill","Alastair Fothergill, Andy Byatt, Tim Ecott","Pierce Brosnan, Michael Gambon",2005-06-17,2006-04-11,90,Miramax Flims,Fresh,67,52,80,4690
